"","Gene","Tratamiento","Tejido","Estres","Tiempo","Replica","Expresion_TPM"
"2323","Gene_055","DrugB","Higado","Medio","24h",17,18.021992067036
"2324","Gene_153","Control","Rinon","Medio","24h",11,6.22857232993733
"2325","Gene_178","Control","Higado","Medio","72h",16,8.2972206336787
"2326","Gene_039","CRISPR","Musculo","Alto","24h",9,10.2823363119622
"2327","Gene_087","RNAi","Higado","Medio","48h",15,4.95851865169044
"2328","Gene_037","RNAi","Higado","Medio","24h",2,4.96057297109555
"2329","Gene_012","DrugA","Higado","Medio","24h",15,17.4487400847502
"2330","Gene_186","Control","Higado","Medio","24h",10,13.2701466489184
"2331","Gene_183","CRISPR","Rinon","Bajo","72h",26,18.5976605900748
"2332","Gene_014","Control","Cerebro","Alto","24h",10,11.2983315972909
"2333","Gene_033","DrugB","Higado","Alto","48h",22,7.55535500462687
"2334","Gene_051","DrugA","Rinon","Alto","24h",27,7.96567001637708
"2335","Gene_057","RNAi","Higado","Bajo","24h",8,6.22028937134333
"2336","Gene_073","Control","Cerebro","Alto","24h",23,6.12583388712489
"2337","Gene_032","DrugA","Cerebro","Medio","24h",22,9.54702409420944
"2338","Gene_174","CRISPR","Rinon","Medio","24h",12,5.27353756587337
"2339","Gene_032","RNAi","Higado","Bajo","24h",28,7.76402478152403
"2340","Gene_127","DrugB","Rinon","Bajo","72h",28,23.2451292148509
"2341","Gene_068","DrugB","Cerebro","Bajo","24h",3,4.0441615455323
"2342","Gene_137","Control","Rinon","Bajo","48h",25,9.42635951807528
"2343","Gene_200","RNAi","Rinon","Bajo","24h",24,7.0579122435686
"2344","Gene_040","RNAi","Cerebro","Alto","72h",4,13.184928793037
"2345","Gene_005","CRISPR","Higado","Alto","48h",16,5.5372610015007
"2346","Gene_081","DrugB","Musculo","Medio","48h",7,4.33211186888988
"2347","Gene_132","DrugA","Musculo","Bajo","48h",1,5.08064961064503
"2348","Gene_199","DrugB","Cerebro","Bajo","24h",22,10.5419410902099
"2349","Gene_035","CRISPR","Rinon","Medio","48h",28,17.315351115774
"2350","Gene_144","Control","Rinon","Bajo","48h",29,5.82530137759173
"2351","Gene_105","Control","Higado","Medio","72h",19,5.90874008153972
"2352","Gene_079","CRISPR","Rinon","Bajo","48h",1,6.90726049057255
"2353","Gene_034","CRISPR","Higado","Alto","72h",9,6.71777376335494
"2354","Gene_095","DrugA","Cerebro","Medio","48h",8,3.82749305678653
"2355","Gene_101","CRISPR","Rinon","Alto","48h",18,8.79823276069375
"2356","Gene_135","Control","Rinon","Alto","48h",3,6.48430615567886
"2357","Gene_130","Control","Rinon","Alto","24h",10,3.59910031051987
"2358","Gene_052","DrugA","Cerebro","Bajo","72h",17,12.5069037054447
"2359","Gene_016","CRISPR","Musculo","Bajo","24h",24,7.71409176974413
"2360","Gene_143","DrugA","Higado","Alto","72h",1,6.36231169316053
"2361","Gene_197","Control","Musculo","Medio","72h",8,15.6159854514748
"2362","Gene_003","Control","Rinon","Alto","48h",10,8.88667588645075
"2363","Gene_184","Control","Rinon","Medio","24h",2,3.88842888521892
"2364","Gene_038","DrugB","Cerebro","Bajo","48h",28,11.1219185296607
"2365","Gene_068","CRISPR","Cerebro","Medio","24h",22,9.43190399459716
"2366","Gene_111","DrugB","Cerebro","Bajo","48h",27,12.2716323916229
"2367","Gene_074","DrugB","Musculo","Bajo","72h",17,2.54742380472464
"2368","Gene_129","Control","Musculo","Alto","24h",5,4.89705643330661
"2369","Gene_003","DrugB","Higado","Bajo","48h",26,4.62050500769793
"2370","Gene_189","CRISPR","Rinon","Alto","72h",28,7.93812350703325
"2371","Gene_049","CRISPR","Higado","Medio","48h",17,8.35179831095405
"2372","Gene_177","RNAi","Musculo","Medio","24h",30,4.91577288671301
"2373","Gene_009","DrugA","Musculo","Alto","48h",4,6.6531881670232
"2374","Gene_189","Control","Rinon","Medio","72h",1,8.93254737215564
"2375","Gene_014","DrugB","Higado","Medio","24h",18,7.51133037791505
"2376","Gene_026","DrugA","Musculo","Bajo","72h",14,9.64025759084364
"2377","Gene_176","Control","Musculo","Medio","24h",10,11.0104120654861
"2378","Gene_125","DrugB","Musculo","Alto","72h",13,7.23136261851334
"2379","Gene_085","RNAi","Cerebro","Bajo","48h",15,6.98720144205442
"2380","Gene_037","RNAi","Rinon","Medio","48h",28,6.12406525800922
"2381","Gene_175","DrugB","Cerebro","Alto","48h",7,5.67399879159556
"2382","Gene_100","DrugA","Cerebro","Alto","48h",14,10.8027507440522
"2383","Gene_053","CRISPR","Cerebro","Medio","48h",16,7.29079114939075
"2384","Gene_112","DrugA","Rinon","Medio","24h",12,6.66100186619977
"2385","Gene_109","CRISPR","Higado","Bajo","48h",13,6.085669435419
"2386","Gene_079","DrugB","Musculo","Alto","48h",6,19.7695730268396
"2387","Gene_173","CRISPR","Rinon","Bajo","72h",8,3.18710409607827
"2388","Gene_163","Control","Rinon","Medio","48h",14,NA
"2389","Gene_174","DrugB","Musculo","Bajo","72h",19,5.00007812313114
"2390","Gene_128","CRISPR","Higado","Medio","72h",11,10.1103376883012
"2391","Gene_027","Control","Higado","Medio","48h",22,7.03620921246296
"2392","Gene_042","Control","Musculo","Bajo","24h",24,4.34504065614253
"2393","Gene_006","DrugA","Musculo","Bajo","48h",16,NA
"2394","Gene_089","RNAi","Cerebro","Medio","72h",17,5.30935188058936
"2395","Gene_046","RNAi","Higado","Alto","48h",17,7.46552837221728
"2396","Gene_074","RNAi","Higado","Bajo","72h",16,15.924299563157
"2397","Gene_099","DrugB","Rinon","Alto","72h",7,5.01442875764155
"2398","Gene_122","RNAi","Rinon","Alto","72h",24,4.73548774725675
"2399","Gene_111","RNAi","Cerebro","Alto","24h",4,6.63575299182416
"2400","Gene_106","Control","Higado","Bajo","24h",14,14.9037487482531
"2401","Gene_006","Control","Musculo","Alto","48h",23,8.02780687550359
"2402","Gene_065","CRISPR","Cerebro","Alto","48h",14,3.04652409176051
"2403","Gene_095","Control","Rinon","Alto","72h",27,4.17637254480048
"2404","Gene_082","CRISPR","Cerebro","Bajo","72h",4,18.3980166228936
"2405","Gene_022","Control","Rinon","Alto","72h",25,4.13770209651474
"2406","Gene_063","DrugB","Musculo","Bajo","48h",10,3.20324629324076
"2407","Gene_008","CRISPR","Rinon","Medio","24h",29,3.8448214843407
"2408","Gene_125","DrugA","Musculo","Bajo","72h",12,5.55225974565209
"2409","Gene_099","CRISPR","Cerebro","Medio","48h",12,7.1179569141427
"2410","Gene_159","Control","Rinon","Medio","48h",18,6.73332852845592
"2411","Gene_198","CRISPR","Higado","Medio","48h",14,7.2348484150183
"2412","Gene_137","Control","Rinon","Alto","72h",3,10.4087878365159
"2413","Gene_199","RNAi","Musculo","Medio","72h",7,6.00395674312592
"2414","Gene_146","RNAi","Cerebro","Medio","72h",6,8.29488022163372
"2415","Gene_194","RNAi","Higado","Alto","24h",6,11.5845817361273
"2416","Gene_044","DrugB","Rinon","Bajo","24h",9,5.21944622859506
"2417","Gene_066","RNAi","Cerebro","Medio","72h",6,6.33548989133973
"2418","Gene_096","Control","Musculo","Medio","48h",21,12.1739807069271
"2419","Gene_117","DrugA","Rinon","Medio","48h",15,2.9832126458046
"2420","Gene_035","DrugB","Rinon","Alto","72h",27,8.31807362666122
"2421","Gene_120","DrugB","Higado","Alto","24h",9,10.9769581444677
"2422","Gene_087","DrugB","Musculo","Alto","72h",7,12.0673735560973
"2423","Gene_053","DrugA","Musculo","Bajo","48h",15,7.28428967319604
"2424","Gene_190","CRISPR","Musculo","Alto","24h",6,5.81920217353742
"2425","Gene_171","RNAi","Cerebro","Alto","24h",8,7.90841370198553
"2426","Gene_137","Control","Musculo","Medio","72h",14,6.77366170861308
"2427","Gene_124","Control","Higado","Bajo","48h",20,6.39230561478729
"2428","Gene_183","DrugA","Musculo","Alto","48h",18,18.2989696547433
"2429","Gene_159","RNAi","Musculo","Bajo","48h",28,6.32558732231228
"2430","Gene_152","DrugA","Musculo","Bajo","24h",14,3.65656638554186
"2431","Gene_067","RNAi","Musculo","Bajo","72h",2,3.1691295683381
"2432","Gene_035","CRISPR","Higado","Bajo","24h",16,4.1437333873183
"2433","Gene_126","RNAi","Higado","Bajo","72h",3,3.15850794756573
"2434","Gene_072","DrugA","Cerebro","Alto","72h",4,6.09810063956078
"2435","Gene_123","Control","Higado","Alto","72h",1,6.35927846024037
"2436","Gene_049","RNAi","Rinon","Bajo","72h",12,13.9518038148914
"2437","Gene_074","CRISPR","Rinon","Medio","72h",30,7.06074489571246
"2438","Gene_019","Control","Musculo","Bajo","48h",20,8.10556577135414
"2439","Gene_153","CRISPR","Higado","Alto","24h",18,8.6064757431573
"2440","Gene_082","DrugA","Musculo","Bajo","24h",27,13.1806048194499
"2441","Gene_068","RNAi","Musculo","Medio","24h",25,9.73119708223314
"2442","Gene_081","DrugB","Rinon","Alto","48h",10,13.317743613558
"2443","Gene_120","CRISPR","Cerebro","Alto","72h",26,4.84934342178272
"2444","Gene_122","DrugB","Musculo","Alto","72h",1,27.4784762325261
"2445","Gene_186","CRISPR","Cerebro","Alto","72h",9,9.22706144612319
"2446","Gene_193","RNAi","Higado","Medio","24h",23,9.40500068047605
"2447","Gene_129","CRISPR","Rinon","Medio","24h",24,7.21842815278868
"2448","Gene_039","RNAi","Musculo","Alto","48h",2,7.19467038121572
"2449","Gene_084","DrugB","Higado","Bajo","48h",18,4.80610299418826
"2450","Gene_047","DrugB","Cerebro","Medio","24h",29,13.270329415769
"2451","Gene_122","DrugA","Rinon","Alto","48h",10,4.0173294611385
"2452","Gene_143","RNAi","Musculo","Alto","24h",7,3.36611856064638
"2453","Gene_037","Control","Cerebro","Medio","24h",5,12.4695663760079
"2454","Gene_012","Control","Musculo","Bajo","24h",30,16.5712706190232
"2455","Gene_094","DrugA","Higado","Medio","24h",30,9.64224353085288
"2456","Gene_011","CRISPR","Musculo","Medio","48h",14,17.3825811162679
"2457","Gene_116","RNAi","Musculo","Bajo","48h",14,7.80972668413513
"2458","Gene_104","RNAi","Cerebro","Alto","24h",23,7.51219302601907
"2459","Gene_087","Control","Higado","Bajo","24h",20,5.31393166546476
"2460","Gene_109","CRISPR","Musculo","Bajo","72h",12,5.35189569583286
"2461","Gene_162","RNAi","Rinon","Bajo","72h",22,4.5869962842218
"2462","Gene_033","DrugA","Rinon","Bajo","24h",1,28.0991141581131
"2463","Gene_011","DrugA","Musculo","Bajo","72h",9,10.4461592823789
"2464","Gene_009","DrugB","Cerebro","Medio","48h",19,6.20654197762635
"2465","Gene_085","DrugB","Cerebro","Alto","72h",1,6.94026865435464
"2466","Gene_073","DrugA","Cerebro","Medio","24h",10,10.4209988723567
"2467","Gene_128","Control","Cerebro","Alto","24h",14,9.83606169921519
"2468","Gene_168","CRISPR","Rinon","Medio","72h",24,11.0725766866239
"2469","Gene_060","RNAi","Musculo","Bajo","48h",2,2.94814071425208
"2470","Gene_078","CRISPR","Cerebro","Medio","24h",21,3.93375524511649
"2471","Gene_035","DrugB","Cerebro","Alto","48h",28,11.9936442602615
"2472","Gene_053","RNAi","Higado","Medio","72h",27,4.12423520715239
"2473","Gene_025","CRISPR","Musculo","Alto","72h",23,3.25474416745665
"2474","Gene_116","RNAi","Cerebro","Alto","48h",20,13.0904086514729
"2475","Gene_146","CRISPR","Higado","Bajo","48h",4,10.7829166164053
"2476","Gene_011","Control","Musculo","Alto","24h",10,6.64259383973829
"2477","Gene_040","Control","Musculo","Bajo","24h",1,6.26037239991721
"2478","Gene_078","Control","Cerebro","Medio","72h",11,NA
"2479","Gene_107","Control","Musculo","Medio","48h",24,8.32944710169758
"2480","Gene_051","DrugA","Cerebro","Medio","72h",12,8.09659795317568
"2481","Gene_098","Control","Musculo","Bajo","24h",24,6.85050814790913
"2482","Gene_129","RNAi","Cerebro","Alto","72h",16,7.88160327155143
"2483","Gene_111","DrugA","Rinon","Bajo","72h",2,7.22423733544196
"2484","Gene_167","CRISPR","Rinon","Bajo","72h",6,16.0260221491311
"2485","Gene_065","Control","Cerebro","Bajo","72h",19,4.87022109637608
"2486","Gene_117","DrugA","Cerebro","Alto","48h",4,5.25394118441036
"2487","Gene_131","RNAi","Rinon","Medio","72h",16,5.14283369662301
"2488","Gene_084","RNAi","Rinon","Alto","48h",7,6.16700339431178
"2489","Gene_094","CRISPR","Musculo","Medio","24h",3,6.05515584313748
"2490","Gene_154","DrugA","Rinon","Alto","48h",26,16.418678307254
"2491","Gene_045","CRISPR","Cerebro","Alto","48h",29,3.39546581531748
"2492","Gene_173","DrugA","Higado","Bajo","48h",23,5.8739388184477
"2493","Gene_128","RNAi","Musculo","Medio","48h",21,2.10024485095803
"2494","Gene_193","CRISPR","Higado","Bajo","72h",24,12.567655088089
"2495","Gene_004","Control","Higado","Medio","72h",27,7.8029764708199
"2496","Gene_109","RNAi","Higado","Medio","24h",27,5.49792286719573
"2497","Gene_090","DrugB","Cerebro","Bajo","24h",30,8.8399933147409
"2498","Gene_089","CRISPR","Rinon","Bajo","72h",4,5.32174003003117
"2499","Gene_140","DrugB","Cerebro","Bajo","24h",9,7.81334225359219
"2500","Gene_140","RNAi","Rinon","Bajo","24h",17,4.3622113754708
"2501","Gene_176","DrugB","Musculo","Alto","48h",25,13.8519395799789
"2502","Gene_168","CRISPR","Musculo","Medio","72h",16,6.24042251017113
"2503","Gene_190","RNAi","Cerebro","Bajo","72h",28,6.79792429601512
"2504","Gene_182","CRISPR","Musculo","Alto","24h",13,9.72703826728134
"2505","Gene_193","Control","Rinon","Bajo","72h",14,3.93171766689084
"2506","Gene_068","DrugB","Rinon","Bajo","24h",11,4.27304461682582
"2507","Gene_148","CRISPR","Rinon","Medio","48h",23,19.8558581244583
"2508","Gene_026","RNAi","Cerebro","Medio","48h",27,11.3372280176641
"2509","Gene_093","DrugB","Rinon","Medio","24h",27,4.26479486366604
"2510","Gene_191","Control","Musculo","Alto","48h",29,6.3481133684629
"2511","Gene_003","RNAi","Musculo","Medio","48h",12,10.6130091734394
"2512","Gene_175","DrugA","Higado","Bajo","72h",29,5.6442402407875
"2513","Gene_137","DrugA","Rinon","Medio","48h",27,7.88444304473363
"2514","Gene_188","CRISPR","Musculo","Bajo","72h",23,6.96193821065954
"2515","Gene_149","RNAi","Higado","Bajo","24h",6,9.96451071576498
"2516","Gene_136","DrugB","Higado","Alto","48h",2,19.1818319613946
"2517","Gene_068","CRISPR","Cerebro","Medio","24h",8,7.25374954698212
"2518","Gene_190","RNAi","Cerebro","Alto","72h",7,21.6913933517446
"2519","Gene_100","DrugB","Musculo","Alto","24h",14,2.24276221326122
"2520","Gene_121","DrugA","Musculo","Alto","24h",20,7.55647023706718
"2521","Gene_103","DrugA","Cerebro","Medio","48h",30,5.2971317316223
"2522","Gene_032","DrugB","Higado","Medio","72h",21,1.79725783566584
"2523","Gene_033","Control","Musculo","Bajo","24h",29,7.62028859289429
"2524","Gene_108","CRISPR","Cerebro","Bajo","48h",20,9.47490700775437
"2525","Gene_185","Control","Musculo","Alto","48h",15,8.63145649610329
"2526","Gene_025","Control","Cerebro","Alto","48h",23,11.6012666523411
"2527","Gene_170","Control","Rinon","Alto","72h",18,8.26417789379313
"2528","Gene_113","Control","Higado","Alto","24h",27,5.74502152972019
"2529","Gene_105","Control","Cerebro","Medio","72h",11,9.36396614204365
"2530","Gene_190","Control","Musculo","Alto","24h",6,4.05632447000216
"2531","Gene_145","RNAi","Rinon","Bajo","72h",5,5.20948081112927
"2532","Gene_123","CRISPR","Cerebro","Bajo","72h",17,4.37335252075036
"2533","Gene_082","CRISPR","Higado","Alto","72h",9,7.1455963506444
"2534","Gene_104","DrugA","Rinon","Medio","72h",9,9.80472313552416
"2535","Gene_044","DrugA","Musculo","Alto","24h",8,2.06020721959551
"2536","Gene_173","Control","Rinon","Bajo","24h",11,5.42667660124677
"2537","Gene_066","CRISPR","Higado","Alto","24h",5,5.43548139968379
"2538","Gene_133","CRISPR","Musculo","Medio","48h",16,2.10996535023957
"2539","Gene_184","CRISPR","Rinon","Bajo","24h",11,10.5803079835199
"2540","Gene_163","RNAi","Musculo","Medio","24h",8,9.30900819591493
"2541","Gene_080","CRISPR","Higado","Medio","72h",1,10.0316926361168
"2542","Gene_153","DrugB","Rinon","Medio","24h",24,9.03592090700786
"2543","Gene_013","DrugA","Musculo","Bajo","72h",11,7.99692688799344
"2544","Gene_155","RNAi","Cerebro","Alto","72h",18,5.97505918514591
"2545","Gene_047","RNAi","Musculo","Bajo","24h",17,18.0110853380993
"2546","Gene_171","RNAi","Musculo","Bajo","72h",15,4.57508163408542
"2547","Gene_136","CRISPR","Musculo","Bajo","24h",26,5.77823977284041
"2548","Gene_028","CRISPR","Musculo","Bajo","48h",26,13.637822715243
"2549","Gene_107","CRISPR","Cerebro","Alto","72h",18,12.3304812042764
"2550","Gene_199","RNAi","Rinon","Medio","48h",21,8.73692773982818
"2551","Gene_186","RNAi","Rinon","Medio","72h",15,9.22033773746411
"2552","Gene_078","DrugB","Rinon","Medio","48h",1,3.82395364005098
"2553","Gene_124","DrugA","Musculo","Medio","72h",15,9.73979912187732
"2554","Gene_165","DrugA","Musculo","Bajo","24h",6,8.14438269993222
"2555","Gene_063","DrugB","Rinon","Alto","24h",2,6.18795750277467
"2556","Gene_178","Control","Musculo","Bajo","24h",4,6.06515669286196
"2557","Gene_099","DrugB","Higado","Alto","24h",5,11.0195617801979
"2558","Gene_122","DrugB","Musculo","Alto","72h",13,4.68860497437665
"2559","Gene_177","RNAi","Higado","Bajo","24h",3,8.32852153803672
"2560","Gene_140","DrugA","Higado","Alto","24h",5,3.83654289744038
"2561","Gene_028","RNAi","Cerebro","Medio","24h",16,2.33721005280862
"2562","Gene_114","DrugA","Rinon","Alto","24h",25,8.96142831299867
"2563","Gene_028","DrugB","Higado","Alto","24h",6,9.84504328848898
"2564","Gene_071","RNAi","Cerebro","Medio","48h",14,6.85837872973638
"2565","Gene_113","DrugA","Rinon","Medio","48h",3,10.9897189568897
"2566","Gene_037","RNAi","Musculo","Medio","48h",22,8.76802544135249
"2567","Gene_046","RNAi","Musculo","Bajo","24h",20,7.75934466849969
"2568","Gene_125","CRISPR","Rinon","Bajo","48h",17,5.98319136344099
"2569","Gene_146","Control","Rinon","Alto","24h",30,5.33218873107295
"2570","Gene_148","DrugA","Musculo","Alto","24h",26,11.5418069860589
"2571","Gene_155","RNAi","Cerebro","Alto","24h",15,3.48728325759913
"2572","Gene_118","DrugA","Cerebro","Medio","48h",13,5.59733117797051
"2573","Gene_125","RNAi","Musculo","Bajo","24h",3,3.16495875953655
"2574","Gene_008","RNAi","Cerebro","Bajo","24h",23,7.06748017377753
"2575","Gene_158","DrugB","Cerebro","Bajo","48h",15,10.5322210389709
"2576","Gene_130","RNAi","Rinon","Bajo","24h",15,8.8559590520325
"2577","Gene_059","CRISPR","Cerebro","Medio","24h",2,4.98736603569928
"2578","Gene_165","DrugA","Musculo","Alto","48h",29,8.76688542836946
"2579","Gene_055","DrugA","Musculo","Alto","72h",20,10.5426184302817
"2580","Gene_190","Control","Higado","Alto","24h",2,6.4421856193071
"2581","Gene_175","Control","Higado","Bajo","72h",27,11.1376656917011
"2582","Gene_182","CRISPR","Higado","Alto","48h",23,6.23085039695897
"2583","Gene_166","RNAi","Rinon","Alto","48h",28,4.92375808510394
"2584","Gene_059","RNAi","Musculo","Bajo","24h",24,8.68495393824455
"2585","Gene_103","CRISPR","Musculo","Medio","72h",27,3.90136189424063
"2586","Gene_140","RNAi","Rinon","Medio","72h",29,5.30412365368471
"2587","Gene_032","CRISPR","Higado","Bajo","72h",13,3.86816947436894
"2588","Gene_056","DrugA","Rinon","Bajo","72h",16,1.4333414100202
"2589","Gene_100","DrugB","Rinon","Bajo","48h",6,7.93090124524615
"2590","Gene_162","CRISPR","Musculo","Alto","72h",20,3.72769223949328
"2591","Gene_199","Control","Cerebro","Alto","48h",21,5.13523534383974
"2592","Gene_032","CRISPR","Rinon","Alto","72h",3,7.14207492301888
"2593","Gene_014","Control","Cerebro","Medio","24h",20,9.5539275105632
"2594","Gene_060","CRISPR","Rinon","Alto","72h",24,11.0403959410486
"2595","Gene_197","DrugA","Cerebro","Medio","72h",19,7.92400537878294
"2596","Gene_180","CRISPR","Musculo","Medio","48h",13,6.39186696198156
"2597","Gene_146","DrugA","Higado","Medio","72h",25,6.07296423996713
"2598","Gene_002","Control","Rinon","Medio","24h",1,7.00512656436462
"2599","Gene_034","Control","Rinon","Bajo","24h",11,5.42760931932447
"2600","Gene_156","DrugB","Musculo","Medio","72h",20,8.26621316035867
"2601","Gene_062","RNAi","Rinon","Medio","72h",15,6.594991315751
"2602","Gene_103","DrugB","Rinon","Alto","72h",27,13.9290167054234
"2603","Gene_135","DrugB","Cerebro","Alto","72h",19,4.62925455917052
"2604","Gene_100","DrugA","Higado","Alto","72h",14,3.13356283012299
"2605","Gene_049","CRISPR","Higado","Medio","48h",23,21.8662430482156
"2606","Gene_189","DrugA","Musculo","Medio","72h",28,3.95275778700556
"2607","Gene_118","DrugB","Cerebro","Medio","24h",8,7.94527454992882
"2608","Gene_066","CRISPR","Cerebro","Medio","72h",15,5.56089971849782
"2609","Gene_097","RNAi","Rinon","Bajo","24h",3,15.9654046368909
"2610","Gene_158","RNAi","Musculo","Alto","72h",6,13.5041947990457
"2611","Gene_042","DrugB","Higado","Medio","72h",27,4.75087083573759
"2612","Gene_005","CRISPR","Cerebro","Medio","24h",7,3.88768685930495
"2613","Gene_038","Control","Higado","Bajo","48h",25,3.81618001331538
"2614","Gene_155","DrugB","Cerebro","Bajo","48h",3,12.6344156440563
"2615","Gene_153","Control","Cerebro","Medio","24h",2,3.07459367799763
"2616","Gene_050","Control","Musculo","Bajo","24h",4,13.1380469464309
"2617","Gene_153","Control","Cerebro","Medio","48h",28,6.26539581687959
"2618","Gene_132","RNAi","Rinon","Medio","72h",18,5.26005924723825
"2619","Gene_059","DrugA","Rinon","Medio","72h",17,7.90021332657188
"2620","Gene_180","DrugA","Musculo","Medio","24h",15,NA
"2621","Gene_176","RNAi","Musculo","Medio","72h",15,4.78364701668712
"2622","Gene_192","CRISPR","Higado","Bajo","24h",20,7.65128066631145
"2623","Gene_078","Control","Cerebro","Bajo","72h",29,6.08590590500479
"2624","Gene_179","CRISPR","Rinon","Alto","24h",15,8.71441776949872
"2625","Gene_148","CRISPR","Musculo","Medio","24h",11,12.5176012801663
"2626","Gene_140","DrugB","Higado","Bajo","24h",16,NA
"2627","Gene_096","DrugA","Rinon","Bajo","48h",1,6.40947728999744
"2628","Gene_130","Control","Cerebro","Medio","48h",2,10.7592253667189
"2629","Gene_144","DrugA","Rinon","Bajo","24h",3,7.92833815439793
"2630","Gene_073","DrugB","Musculo","Bajo","72h",6,9.78252423730582
"2631","Gene_028","CRISPR","Musculo","Medio","24h",19,8.68983715606741
"2632","Gene_039","CRISPR","Musculo","Medio","72h",5,5.45169639370408
"2633","Gene_053","DrugA","Rinon","Alto","48h",2,12.4106647809365
"2634","Gene_156","DrugB","Rinon","Medio","48h",20,4.06409141892492
"2635","Gene_061","DrugB","Musculo","Bajo","48h",13,5.37521626179765
"2636","Gene_009","Control","Higado","Medio","72h",22,8.27944787211104
"2637","Gene_147","Control","Higado","Medio","72h",12,13.5482740857453
"2638","Gene_146","DrugA","Higado","Medio","48h",1,7.47763117384905
"2639","Gene_020","Control","Cerebro","Medio","72h",14,6.34737947089439
"2640","Gene_075","CRISPR","Musculo","Medio","48h",30,3.55230248334463
"2641","Gene_036","CRISPR","Rinon","Bajo","72h",9,9.42284261960165
"2642","Gene_141","DrugB","Musculo","Alto","48h",1,8.90326325593422
"2643","Gene_046","Control","Rinon","Medio","72h",20,5.22144547213847
"2644","Gene_039","Control","Musculo","Alto","72h",11,2.92425104034045
"2645","Gene_094","DrugA","Cerebro","Alto","72h",17,5.23246735247415
"2646","Gene_189","DrugB","Cerebro","Bajo","72h",6,2.41863770749074
"2647","Gene_138","DrugA","Rinon","Alto","72h",1,13.5438932287913
"2648","Gene_032","DrugA","Cerebro","Medio","48h",23,3.14036021703479
"2649","Gene_059","DrugB","Cerebro","Bajo","48h",12,5.86861968281731
"2650","Gene_150","DrugB","Rinon","Medio","48h",25,14.8060420566494
"2651","Gene_055","CRISPR","Cerebro","Bajo","48h",18,12.4806937190118
"2652","Gene_124","DrugA","Rinon","Alto","24h",7,6.30930506001112
"2653","Gene_063","DrugB","Rinon","Medio","48h",8,6.05383155331072
"2654","Gene_115","Control","Rinon","Alto","72h",4,9.79664685473098
"2655","Gene_061","CRISPR","Musculo","Bajo","48h",3,18.5419976004652
"2656","Gene_054","DrugA","Higado","Bajo","72h",25,10.9286825764219
"2657","Gene_151","DrugB","Higado","Medio","24h",27,6.95762230458041
"2658","Gene_096","RNAi","Cerebro","Bajo","72h",29,4.0885594365466
"2659","Gene_148","RNAi","Higado","Bajo","24h",8,11.444343364496
"2660","Gene_038","CRISPR","Cerebro","Medio","48h",26,14.1277938818616
"2661","Gene_118","Control","Higado","Alto","72h",21,7.08880973623692
"2662","Gene_034","DrugA","Musculo","Alto","72h",25,4.33875676057327
"2663","Gene_044","CRISPR","Higado","Bajo","48h",19,3.79802118921037
"2664","Gene_045","Control","Higado","Alto","48h",29,NA
"2665","Gene_048","Control","Higado","Medio","48h",7,4.92772757638102
"2666","Gene_093","DrugB","Musculo","Medio","72h",7,5.24379233832878
"2667","Gene_045","DrugB","Musculo","Bajo","24h",14,5.85753976035432
"2668","Gene_106","RNAi","Rinon","Bajo","48h",16,4.77288201828696
"2669","Gene_115","CRISPR","Rinon","Medio","72h",12,4.69153005653687
"2670","Gene_018","CRISPR","Musculo","Alto","48h",18,4.62045222044796
"2671","Gene_054","DrugB","Rinon","Bajo","24h",19,13.036610155498
"2672","Gene_003","Control","Musculo","Medio","48h",11,8.68452574449007
"2673","Gene_111","DrugA","Cerebro","Medio","72h",12,3.82382808683879
"2674","Gene_137","DrugA","Rinon","Medio","48h",26,12.0660984839895
"2675","Gene_078","DrugB","Rinon","Bajo","72h",20,7.9802273313529
"2676","Gene_016","DrugB","Cerebro","Alto","24h",1,9.01799925079914
"2677","Gene_196","DrugA","Cerebro","Medio","24h",6,NA
"2678","Gene_110","RNAi","Cerebro","Bajo","24h",14,10.6147304649808
"2679","Gene_079","RNAi","Cerebro","Alto","72h",13,6.30502420848728
"2680","Gene_139","CRISPR","Rinon","Alto","72h",22,6.60689410821756
"2681","Gene_144","RNAi","Musculo","Medio","24h",13,11.6159381108823
"2682","Gene_135","RNAi","Cerebro","Medio","24h",3,15.8357674281555
"2683","Gene_038","DrugA","Musculo","Alto","48h",7,7.35691118936136
"2684","Gene_168","CRISPR","Higado","Alto","72h",27,6.79935487499017
"2685","Gene_064","Control","Cerebro","Alto","48h",30,10.1645111853332
"2686","Gene_130","Control","Cerebro","Medio","72h",10,14.1624491276415
"2687","Gene_182","CRISPR","Rinon","Alto","48h",18,13.8117050763524
"2688","Gene_011","Control","Cerebro","Alto","24h",19,7.18763535975259
"2689","Gene_164","Control","Cerebro","Medio","48h",12,3.50876720160422
"2690","Gene_141","DrugB","Rinon","Medio","48h",21,32.2303086992265
"2691","Gene_170","DrugB","Cerebro","Medio","24h",4,10.0711729230412
"2692","Gene_191","CRISPR","Higado","Medio","72h",8,8.30977490271552
"2693","Gene_047","CRISPR","Rinon","Medio","24h",23,11.1053446633542
"2694","Gene_005","Control","Cerebro","Bajo","24h",14,10.4480678237468
"2695","Gene_032","DrugB","Higado","Bajo","24h",1,17.0537477291953
"2696","Gene_089","DrugA","Higado","Alto","24h",13,4.47157391596161
"2697","Gene_121","RNAi","Rinon","Alto","48h",1,6.0288439534691
"2698","Gene_069","DrugA","Higado","Bajo","24h",21,4.36769740071588
